condition,cue_x,cue_y,target_x,target_y,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,key_resp.keys,key_resp.rt,key_resp.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,practice.started,fixation_2.started,Left_rect_2.started,Right_rect_2.started,cue_2.started,cue_2.stopped,target_2.started,key_resp_3.started,practice.stopped,trials_2.key_resp_3.keys,trials_2.key_resp_3.rt,trials_2.key_resp_3.duration,fixation_2.stopped,Left_rect_2.stopped,Right_rect_2.stopped,target_2.stopped,key_resp_3.stopped,instructions_2.started,text_3.started,key_resp_4.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,fixation.started,Left_rect.started,Right_rect.started,cue.started,cue.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,blank.started,text_2.started,text_2.stopped,blank.stopped,fixation.stopped,Left_rect.stopped,Right_rect.stopped,target.stopped,key_resp.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0.0028815999976359308,0.007778999992297031,0.007778999992297031,29.711083199988934,space,29.57476139999926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,001,2025-11-21_16h23.04.533,solo_project,,2025.1.1,59.93899408956695,2025-11-21 16h23.19.284734 +0530,
invalid_same,-0.168,-0.175,-0.168,0.149,0,0,0,up,0.9224266999954125,None,,,,0,0,0,5,,,,,29.74641259999771,,,,,,,,,29.741526500001783,29.74641259999771,30.72402239999792,30.72402239999792,30.72402239999792,30.82395109999925,31.023491200001445,31.023491200001445,31.957475199989858,up,0.9224266999954125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,001,2025-11-21_16h23.04.533,solo_project,,2025.1.1,59.93899408956695,2025-11-21 16h23.19.284734 +0530,
valid,-0.168,0.175,-0.168,0.149,1,1,0,up,0.4909509999997681,None,,,,0,1,1,0,,,,,31.97359909999068,,,,,,,,,31.958135199995013,31.97359909999068,32.95709799999895,32.95709799999895,32.95709799999895,33.0574101999955,33.25735619998886,33.25735619998886,33.75798470000154,up,0.4909509999997681,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,001,2025-11-21_16h23.04.533,solo_project,,2025.1.1,59.93899408956695,2025-11-21 16h23.19.284734 +0530,
valid,-0.168,-0.175,-0.168,-0.149,2,2,0,up,0.3840506999986246,None,,,,0,2,2,1,,,,,33.77381400000013,,,,,,,,,33.75864020000154,33.77381400000013,34.77394919999642,34.77394919999642,34.77394919999642,34.8739682000014,35.05729159999464,35.05729159999464,35.45783609998762,up,0.3840506999986246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,001,2025-11-21_16h23.04.533,solo_project,,2025.1.1,59.93899408956695,2025-11-21 16h23.19.284734 +0530,
catch,-0.168,-0.175,None,None,3,3,0,None,,,,,,0,3,3,9,,,,,35.473889299988514,,,,,,,,,35.45874069999263,35.473889299988514,36.4573803999956,36.4573803999956,36.4573803999956,36.55732329998864,36.75739389999944,36.75739389999944,38.74118179999641,None,,,38.75699119998899,38.75699119998899,38.75699119998899,38.75699119998899,38.75699119998899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,001,2025-11-21_16h23.04.533,solo_project,,2025.1.1,59.93899408956695,2025-11-21 16h23.19.284734 +0530,
invalid_diff,-0.168,0.175,0.168,0.149,4,4,0,up,0.39849730000423733,None,,,,0,4,4,6,,,,,38.75699119998899,,,,,,,,,38.74189729998761,38.75699119998899,39.75737439999648,39.75737439999648,39.75737439999648,39.85728549999476,40.057106599997496,40.057106599997496,40.457966999994824,up,0.39849730000423733,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,001,2025-11-21_16h23.04.533,solo_project,,2025.1.1,59.93899408956695,2025-11-21 16h23.19.284734 +0530,
valid,0.168,0.175,0.168,0.149,5,5,0,up,0.4885959999955958,None,,,,0,5,5,2,,,,,40.47397209999326,,,,,,,,,40.4588500999962,40.47397209999326,41.457334199993056,41.457334199993056,41.457334199993056,41.557230399994296,41.75713959999848,41.75713959999848,42.25799759999791,up,0.4885959999955958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,001,2025-11-21_16h23.04.533,solo_project,,2025.1.1,59.93899408956695,2025-11-21 16h23.19.284734 +0530,
valid,0.168,-0.175,0.168,-0.149,6,6,0,up,0.40122640000481624,None,,,,0,6,6,3,,,,,42.27409729998908,,,,,,,,,42.258701699989615,42.27409729998908,43.2572216999979,43.2572216999979,43.2572216999979,43.35740779999469,43.55743909999728,43.55743909999728,43.9742089999927,up,0.40122640000481624,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,001,2025-11-21_16h23.04.533,solo_project,,2025.1.1,59.93899408956695,2025-11-21 16h23.19.284734 +0530,
invalid_diff,-0.168,-0.175,0.168,-0.149,7,7,0,up,0.459302100003697,None,,,,0,7,7,7,,,,,43.99013459999696,,,,,,,,,43.97489040000073,43.99013459999696,44.97407029999886,44.97407029999886,44.97407029999886,45.07395689999976,45.27401209999516,45.27401209999516,45.74132909999753,up,0.459302100003697,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,001,2025-11-21_16h23.04.533,solo_project,,2025.1.1,59.93899408956695,2025-11-21 16h23.19.284734 +0530,
catch,-0.168,0.175,None,None,8,8,0,None,,,,,,0,8,8,8,,,,,45.75740950000181,,,,,,,,,45.74224069999764,45.75740950000181,46.740276999989874,46.740276999989874,46.740276999989874,46.84054729998752,47.04056939999282,47.04056939999282,49.02447720000055,None,,,49.04044040000008,49.04044040000008,49.04044040000008,49.04044040000008,49.04044040000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,001,2025-11-21_16h23.04.533,solo_project,,2025.1.1,59.93899408956695,2025-11-21 16h23.19.284734 +0530,
