condition,cue_x,cue_y,target_x,target_y,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,key_resp.keys,key_resp.rt,key_resp.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,practice.started,fixation_2.started,Left_rect_2.started,Right_rect_2.started,cue_2.started,cue_2.stopped,target_2.started,key_resp_3.started,practice.stopped,trials_2.key_resp_3.keys,trials_2.key_resp_3.rt,trials_2.key_resp_3.duration,fixation_2.stopped,Left_rect_2.stopped,Right_rect_2.stopped,target_2.stopped,key_resp_3.stopped,instructions_2.started,text_3.started,key_resp_4.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,fixation.started,Left_rect.started,Right_rect.started,cue.started,cue.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,blank.started,text_2.started,text_2.stopped,blank.stopped,fixation.stopped,Left_rect.stopped,Right_rect.stopped,target.stopped,key_resp.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,0.0026974,0.0071271,0.0071271,1.5131113,space,1.4900863,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
invalid_diff,-0.168,0.175,0.168,0.149,0,0,0,up,0.413885,None,,,,0,0,0,6,,,,,1.5230518,,,,,,,,,1.5191619,1.5230518,2.52216,2.52216,2.52216,2.6221698,2.8222068,2.8222068,3.2399716,up,0.413885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,-0.168,0.175,-0.168,0.149,1,1,0,up,0.3935038,None,,,,0,1,1,0,,,,,3.2560013,,,,,,,,,3.240696,3.2560013,4.2392811,4.2392811,4.2392811,4.3395153,4.5393874,4.5393874,4.9400322,up,0.3935038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
catch,-0.168,-0.175,None,None,2,2,0,up,0.6149544,None,,,,0,2,2,9,,,,,4.9558934,,,,,,,,,4.9409029,4.9558934,5.9394023,5.9394023,5.9394023,6.0395127,6.2392916,6.2392916,6.8559832,up,0.6149544,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
invalid_diff,-0.168,-0.175,0.168,-0.149,3,3,0,up,0.4120017,None,,,,0,3,3,7,,,,,6.8723629,,,,,,,,,6.856349,6.8723629,7.8561318,7.8561318,7.8561318,7.9561406,8.1560686,8.1560686,8.5732282,up,0.4120017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,0.168,0.175,0.168,0.149,4,4,0,up,0.4161721,None,,,,0,4,4,2,,,,,8.5892994,,,,,,,,,8.5739119,8.5892994,9.5725352,9.5725352,9.5725352,9.6724867,9.8725625,9.8725625,10.2901678,up,0.4161721,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
invalid_same,-0.168,0.175,-0.168,-0.149,5,5,0,up,0.4527485,None,,,,0,5,5,4,,,,,10.3060582,,,,,,,,,10.290858,10.3060582,11.3060455,11.3060455,11.3060455,11.4060999,11.5895286,11.5895286,12.0563001,up,0.4527485,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
catch,-0.168,0.175,None,None,6,6,0,None,,,,,,0,6,6,8,,,,,12.0723433,,,,,,,,,12.0569243,12.0723433,13.0560325,13.0560325,13.0560325,13.1560976,13.3560608,13.3560608,15.3398494,None,,,15.3559668,15.3559668,15.3559668,15.3559668,15.3559668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
invalid_same,-0.168,-0.175,-0.168,0.149,7,7,0,up,0.3718756,None,,,,0,7,7,5,,,,,15.3559668,,,,,,,,,15.3405494,15.3559668,16.3559534,16.3559534,16.3559534,16.4560858,16.6559403,16.6559403,17.0399414,up,0.3718756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
valid,0.168,-0.175,0.168,-0.149,8,8,0,up,0.3341029,None,,,,0,8,8,3,,,,,17.0559566,,,,,,,,,17.0406262,17.0559566,18.0391956,18.0391956,18.0391956,18.1390641,18.339206,18.339206,18.6899312,up,0.3341029,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,2025-11-21_11h48.00.134,solo_project,,2025.1.1,60.01709286,2025-11-21 11h48.06.859848 +0530
