reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,t,15.790374099742621,None,0,0,0,1,0.1816912000067532,,0.1648603999055922,0.1816912000067532,1.01646179985255,1.01646179985255,1.183417099993676,16.910061900038272,t,15.790374099742621,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
67,75,119,1,1,0,t,2.205163999926299,None,0,1,1,6,16.93163440003991,,16.91425189981237,16.93163440003991,17.91676880000159,17.91676880000159,17.933480199892074,20.134135500062257,t,2.205163999926299,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
40,55,62,2,2,0,t,2.446552900131792,None,0,2,2,3,20.148826299700886,,20.143307599704713,20.148826299700886,21.150173499714583,21.150173499714583,21.150173499714583,23.6010338999331,t,2.446552900131792,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
92,110,190,3,3,0,t,2.5139800999313593,None,0,3,3,9,23.615448199678212,,23.606033199932426,23.615448199678212,24.615387899801135,24.615387899801135,24.615387899801135,27.133459699805826,t,2.5139800999313593,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
49,60,89,4,4,0,t,3.2031681002117693,None,0,4,4,4,27.148991599678993,,27.138787999749184,27.148991599678993,28.133130999747664,28.133130999747664,28.14998729992658,31.350608499720693,t,3.2031681002117693,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
27,50,21,5,5,0,t,14.930623299907893,None,0,5,5,2,31.36572779994458,,31.35672889975831,31.36572779994458,32.34986219974235,32.34986219974235,32.366493799723685,47.28359209978953,t,14.930623299907893,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
11,30,7,6,6,0,l,2.441968800034374,None,0,6,6,0,47.29886199999601,,47.289322699885815,47.29886199999601,48.28315499983728,48.28315499983728,48.29975969996303,50.73368139984086,l,2.441968800034374,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
82,90,175,7,7,0,t,2.1105879000388086,None,0,7,7,8,50.748538099695,,50.73916359990835,50.748538099695,51.74853389989585,51.74853389989585,51.74853389989585,53.867011399939656,t,2.1105879000388086,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
53,65,101,8,8,0,t,1.9748659003525972,None,0,8,8,5,53.88241049973294,,53.87203919980675,53.88241049973294,54.86658790009096,54.86658790009096,54.882971399929374,56.8518598000519,t,1.9748659003525972,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
78,80,162,9,9,0,t,1.8076071999967098,None,0,9,9,7,56.86484119994566,,56.856419099960476,56.86484119994566,57.86623809998855,57.86623809998855,57.86623809998855,59.68387180007994,t,1.8076071999967098,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
27,50,21,10,0,1,t,2.818668299820274,None,1,0,10,2,59.6993110999465,,59.68890339974314,59.6993110999465,60.68353040004149,60.68353040004149,60.69946679985151,63.51676429994404,t,2.818668299820274,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
40,55,62,11,1,1,t,7.329973100218922,None,1,1,11,3,63.53202919987962,,63.52086209971458,63.53202919987962,64.51640739990398,64.51640739990398,64.53291929978877,71.85053929965943,t,7.329973100218922,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
92,110,190,12,2,1,t,1.6659184000454843,None,1,2,12,9,71.86560649983585,,71.85642910003662,71.86560649983585,72.85007359972224,72.85007359972224,72.86626869998872,74.51781550003216,t,1.6659184000454843,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
53,65,101,13,3,1,t,1.9919002000242472,None,1,3,13,5,74.53191419970244,,74.5225954996422,74.53191419970244,75.5331533998251,75.5331533998251,75.5331533998251,77.53335259994492,t,1.9919002000242472,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
78,80,162,14,4,1,t,1.942926499992609,None,1,4,14,7,77.54937359970063,,77.53787519969046,77.54937359970063,78.5486657996662,78.5486657996662,78.5486657996662,80.49843739997596,t,1.942926499992609,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
49,60,89,15,5,1,t,3.524993899744004,None,1,5,15,4,80.51464299997315,,80.50172229995951,80.51464299997315,81.49845589976758,81.49845589976758,81.51491989986971,85.03337079985067,t,3.524993899744004,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
82,90,175,16,6,1,t,1.7166446996852756,None,1,6,16,8,85.04871719982475,,85.03707289975137,85.04871719982475,86.03300020005554,86.03300020005554,86.04971739975736,87.76598009979352,t,1.7166446996852756,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
15,35,13,17,7,1,t,1.9696537000127137,None,1,7,17,1,87.78180489968508,,87.76903639966622,87.78180489968508,88.781897299923,88.781897299923,88.781897299923,90.76682449970394,t,1.9696537000127137,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
11,30,7,18,8,1,l,2.6786881000734866,None,1,8,18,0,90.78263900009915,,90.77247339999303,90.78263900009915,91.76634409977123,91.76634409977123,91.78269549971446,94.45007749972865,l,2.6786881000734866,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
67,75,119,19,9,1,t,4.462499000132084,None,1,9,19,6,94.46506770001724,,94.45477059995756,94.46506770001724,95.44964700005949,95.44964700005949,95.46622329996899,99.91683459980413,t,4.462499000132084,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
92,110,190,20,0,2,t,2.58832379989326,None,2,0,20,9,99.93187849968672,,99.92154429992661,99.93187849968672,100.9162816000171,100.9162816000171,100.93320339964703,103.51684209983796,t,2.58832379989326,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
40,55,62,21,1,2,t,1.5941602000966668,None,2,1,21,3,103.53180529968813,,103.5221652998589,103.53180529968813,104.53143960004672,104.53143960004672,104.53143960004672,106.1334478999488,t,1.5941602000966668,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
78,80,162,22,2,2,t,1.6557053001597524,None,2,2,22,7,106.14850649982691,,106.13831599988043,106.14850649982691,107.13301360001788,107.13301360001788,107.1496787997894,108.80029289983213,t,1.6557053001597524,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
53,65,101,23,3,2,t,1.791295100003481,None,2,3,23,5,108.81524490006268,,108.80620289966464,108.81524490006268,109.7996628000401,109.7996628000401,109.81630739988759,111.59978109970689,t,1.791295100003481,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
49,60,89,24,4,2,t,2.5670846002176404,None,2,4,24,4,111.6150432000868,,111.6032968997024,111.6150432000868,112.59964179992676,112.59964179992676,112.61611029971391,115.18308869982138,t,2.5670846002176404,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
15,35,13,25,5,2,t,2.9966583997011185,None,2,5,25,1,115.19851139979437,,115.18734359974042,115.19851139979437,116.18277619965374,116.18277619965374,116.19957139994949,119.18258159980178,t,2.9966583997011185,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
82,90,175,26,6,2,t,2.461368899792433,None,2,6,26,8,119.19893119996414,,119.18577789980918,119.19893119996414,120.18227069964632,120.18227069964632,120.19988599978387,122.65019669989124,t,2.461368899792433,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
11,30,7,27,7,2,l,1.3219506000168622,None,2,7,27,0,122.66540789976716,,122.65657799970359,122.66540789976716,123.64965880010277,123.64965880010277,123.66639410005882,124.98318840004504,l,1.3219506000168622,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
27,50,21,28,8,2,t,1.621223900001496,None,2,8,28,2,124.99872000003234,,124.98804909968749,124.99872000003234,125.98249260010198,125.98249260010198,125.9997664000839,127.61682129977271,t,1.621223900001496,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
67,75,119,29,9,2,t,7.824766700156033,None,2,9,29,6,127.63167469995096,,127.62114170007408,127.63167469995096,128.63220819970593,128.63220819970593,128.63220819970593,136.46668559964746,t,7.824766700156033,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
27,50,21,30,0,3,l,5.394854799844325,None,3,0,30,2,136.4817400998436,,136.47166769998148,136.4817400998436,137.466082399711,137.466082399711,137.48287859978154,142.86640739999712,l,5.394854799844325,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
67,75,119,31,1,3,t,2.2407900001853704,None,3,1,31,6,142.88243019999936,,142.8714819997549,142.88243019999936,143.8662370997481,143.8662370997481,143.88277019979432,146.11661429982632,t,2.2407900001853704,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
92,110,190,32,2,3,t,1.0823951996862888,None,3,2,32,9,146.13142069987953,,146.12111249985173,146.13142069987953,147.1161592998542,147.1161592998542,147.13264920003712,148.20007809996605,t,1.0823951996862888,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
82,90,175,33,3,3,t,3.544123100116849,None,3,3,33,8,148.21591780008748,,148.20443479996175,148.21591780008748,149.1989174997434,149.1989174997434,149.21601979993284,152.7500053998083,t,3.544123100116849,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
