thisN,thisTrialN,thisRepN,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.tilt,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.014944399998057634,0.032180999995034654,0.032180999995034654,11.411288800001785,space,11.257208600000013,None,,,,,,,,,,,participant_1,001,2025-09-11_11h05.04.117,orientation_discrimination,,2025.1.1,59.83090589302619,2025-09-11 11h05.22.099906 +0530,
0,0,0,-4,down,1,1.3576066000023275,None,0,0,0,0,11.431096399996022,,,,,,,,,11.413479599999846,11.431096399996022,12.44566979999945,12.467550199995458,13.81698840000172,-4,down,1,1.3576066000023275,None,participant_1,001,2025-09-11_11h05.04.117,orientation_discrimination,,2025.1.1,59.83090589302619,2025-09-11 11h05.22.099906 +0530,
1,0,1,1,down,1,1.0027589000019361,None,1,0,1,0,13.833014099996944,,,,,,,,,13.817422299995087,13.833014099996944,14.831480399996508,14.848253799995291,15.850148099998478,1,down,1,1.0027589000019361,None,participant_1,001,2025-09-11_11h05.04.117,orientation_discrimination,,2025.1.1,59.83090589302619,2025-09-11 11h05.22.099906 +0530,
2,0,2,3,down,1,0.6765163999953074,None,2,0,2,0,15.866468699998222,,,,,,,,,15.850580599995737,15.866468699998222,16.84989399999904,16.866188499996497,17.533795800001826,3,down,1,0.6765163999953074,None,participant_1,001,2025-09-11_11h05.04.117,orientation_discrimination,,2025.1.1,59.83090589302619,2025-09-11 11h05.22.099906 +0530,
3,0,3,0,up,1,0.9046679000020958,None,3,0,3,0,17.549669599997287,,,,,,,,,17.53416219999781,17.549669599997287,18.533360900000844,18.5497652999984,19.45018749999872,0,up,1,0.9046679000020958,None,participant_1,001,2025-09-11_11h05.04.117,orientation_discrimination,,2025.1.1,59.83090589302619,2025-09-11 11h05.22.099906 +0530,
4,0,4,4,down,1,0.7069722000014735,None,4,0,4,0,19.46628509999573,,,,,,,,,19.450611000000208,19.46628509999573,20.465128099996946,20.48177880000003,21.18161289999989,4,down,1,0.7069722000014735,None,participant_1,001,2025-09-11_11h05.04.117,orientation_discrimination,,2025.1.1,59.83090589302619,2025-09-11 11h05.22.099906 +0530,
5,0,5,0,up,1,0.9548987000016496,None,5,0,5,0,21.19825100000162,,,,,,,,,21.181820899997547,21.19825100000162,22.18293409999751,22.19962509999459,23.150267600001825,0,up,1,0.9548987000016496,None,participant_1,001,2025-09-11_11h05.04.117,orientation_discrimination,,2025.1.1,59.83090589302619,2025-09-11 11h05.22.099906 +0530,
6,0,6,0,down,0,0.7687354999943636,None,6,0,6,0,23.166213399999833,,,,,,,,,23.15066680000018,23.166213399999833,24.149678199995833,24.16610370000126,24.933184199995594,0,down,0,0.7687354999943636,None,participant_1,001,2025-09-11_11h05.04.117,orientation_discrimination,,2025.1.1,59.83090589302619,2025-09-11 11h05.22.099906 +0530,
7,0,7,0,down,0,0.9325511999995797,None,7,0,7,0,24.949278299995058,,,,,,,,,24.933584400001564,24.949278299995058,25.93326099999831,25.949664899999334,26.882232099997054,0,down,0,0.9325511999995797,None,participant_1,001,2025-09-11_11h05.04.117,orientation_discrimination,,2025.1.1,59.83090589302619,2025-09-11 11h05.22.099906 +0530,
8,0,8,0,up,1,0.6840680000022985,None,8,0,8,0,26.898492799999076,,,,,,,,,26.882529199996497,26.898492799999076,27.883775700000115,27.898618200000783,28.58356179999828,0,up,1,0.6840680000022985,None,participant_1,001,2025-09-11_11h05.04.117,orientation_discrimination,,2025.1.1,59.83090589302619,2025-09-11 11h05.22.099906 +0530,
